order_item_id,order_id,item_name,item_quantity,item_unit_price,item_total_price
30054,20123,empower compelling action-items,2,21.51,43.02
30055,20358,deliver e-business initiatives,3,9.48,28.44
30056,20528,re-contextualize open-source metrics,4,39.5,158.0
30057,20066,e-enable open-source platforms,1,48.48,48.48
30058,20936,strategize strategic vortals,3,48.65,145.95
30059,20657,reinvent revolutionary systems,2,43.93,87.86
30060,20375,engineer revolutionary e-services,1,32.04,32.04
30061,20162,iterate intuitive models,3,36.54,109.62
30062,20746,embrace innovative relationships,1,17.83,17.83
30063,20380,syndicate B2B e-markets,1,33.38,33.38
30064,20656,maximize 24/7 web-readiness,3,25.5,76.5
30065,20358,optimize leading-edge infrastructures,1,26.69,26.69
30066,20188,redefine mission-critical mindshare,4,39.1,156.4
30067,20322,benchmark one-to-one schemas,3,17.69,53.07000000000001
30068,20450,optimize enterprise architectures,4,19.31,77.24
30069,20474,brand innovative bandwidth,2,46.61,93.22
30070,20013,incentivize intuitive niches,1,7.53,7.53
30071,20184,exploit innovative users,2,26.85,53.7
30072,20111,maximize extensible experiences,2,46.08,92.16
30073,20927,implement dynamic networks,1,32.47,32.47
30074,20508,brand bleeding-edge e-markets,3,29.59,88.77
30075,20290,strategize world-class solutions,1,16.24,16.24
30076,20295,aggregate cutting-edge content,2,20.45,40.9
30077,20451,deploy holistic e-commerce,2,43.34,86.68
30078,20904,deliver transparent initiatives,3,30.16,90.48
30079,20215,reinvent transparent communities,1,28.16,28.16
30080,20974,generate dot-com applications,2,9.48,18.96
30081,20632,innovate dot-com channels,4,5.72,22.88
30082,20894,expedite integrated ROI,2,48.37,96.74
30083,20567,leverage cross-platform systems,2,21.96,43.92
30084,20027,redefine wireless synergies,3,32.14,96.42
30085,20630,evolve innovative e-tailers,4,8.59,34.36
30086,20733,utilize sticky infrastructures,2,35.74,71.48
30087,20231,target dot-com info-mediaries,2,46.97,93.94
30088,20565,engage best-of-breed content,4,30.9,123.6
30089,20807,monetize ubiquitous e-commerce,1,10.68,10.68
30090,20321,implement user-centric schemas,1,31.18,31.18
30091,20913,maximize virtual metrics,2,39.49,78.98
30092,20233,unleash customized web services,2,23.29,46.58
30093,20670,reinvent out-of-the-box vortals,1,44.59,44.59
30094,20437,harness ubiquitous applications,3,34.19,102.57
30095,20781,maximize interactive web-readiness,4,45.47,181.88
30096,20533,aggregate intuitive networks,4,33.06,132.24
30097,20403,evolve front-end systems,3,10.91,32.730000000000004
30098,20053,harness B2B convergence,3,18.94,56.82000000000001
30099,20787,aggregate revolutionary channels,3,14.08,42.24
30100,20313,expedite proactive users,3,45.9,137.7
30101,20281,transition transparent vortals,3,39.22,117.66
30102,20726,optimize B2B content,3,35.44,106.32
30103,20031,redefine distributed content,4,18.54,74.16
30104,20337,optimize out-of-the-box functionalities,3,13.28,39.839999999999996
30105,20183,visualize world-class vortals,1,39.04,39.04
30106,20023,embrace collaborative portals,3,26.34,79.02
30107,20544,morph intuitive web-readiness,3,15.16,45.480000000000004
30108,20446,architect bleeding-edge metrics,4,32.75,131.0
30109,20074,deploy virtual initiatives,4,6.82,27.28
30110,20010,scale open-source e-tailers,3,19.68,59.04
30111,20484,benchmark rich communities,4,26.09,104.36
30112,20456,cultivate magnetic architectures,2,11.66,23.32
30113,20566,enhance dot-com content,4,49.31,197.24
30114,20564,embrace killer architectures,4,14.41,57.64
30115,20660,enhance transparent paradigms,4,10.87,43.48
30116,20160,scale rich e-markets,4,14.16,56.64
30117,20882,drive B2B users,1,39.61,39.61
30118,20014,redefine rich networks,1,24.15,24.15
30119,20178,transition magnetic platforms,1,30.44,30.44
30120,20412,incubate integrated info-mediaries,3,5.95,17.85
30121,20878,synthesize vertical e-business,3,6.55,19.65
30122,20053,utilize rich ROI,2,25.06,50.12
30123,20408,brand proactive e-tailers,1,41.75,41.75
30124,20847,leverage intuitive applications,3,44.84,134.52
30125,20022,strategize compelling bandwidth,4,8.9,35.6
30126,20030,repurpose dynamic communities,4,29.23,116.92
30127,20703,incubate seamless web services,1,46.1,46.1
30128,20260,streamline granular bandwidth,2,22.46,44.92
30129,20205,matrix rich portals,2,42.33,84.66
30130,20059,strategize value-added web-readiness,4,11.02,44.08
30131,20471,exploit best-of-breed e-services,2,47.09,94.18
30132,20776,disintermediate wireless initiatives,1,38.81,38.81
30133,20466,incubate 24/365 metrics,4,47.36,189.44
30134,20012,target next-generation networks,3,35.45,106.35000000000001
30135,20631,seize e-business infrastructures,3,21.35,64.05000000000001
30136,20927,transition viral synergies,2,47.22,94.44
30137,20974,matrix mission-critical markets,4,17.4,69.6
30138,20290,re-contextualize proactive users,4,19.95,79.8
30139,20850,exploit real-time methodologies,3,36.54,109.62
30140,20760,engineer virtual e-commerce,4,39.44,157.76
30141,20354,incubate transparent vortals,4,46.82,187.28
30142,20639,innovate B2C applications,4,14.22,56.88
30143,20075,enable transparent networks,2,40.91,81.82
30144,20873,deliver ubiquitous info-mediaries,4,38.23,152.92
30145,20716,disintermediate integrated architectures,1,7.87,7.87
30146,20561,transition B2B markets,2,22.43,44.86
30147,20591,synergize plug-and-play markets,4,17.72,70.88
30148,20441,whiteboard global functionalities,4,18.7,74.8
30149,20991,scale revolutionary channels,1,49.23,49.23
30150,20241,repurpose best-of-breed experiences,2,33.92,67.84
30151,20861,enable viral e-commerce,3,37.3,111.89999999999999
30152,20154,target collaborative info-mediaries,3,48.95,146.85000000000002
30153,20786,embrace one-to-one info-mediaries,2,21.97,43.94
30154,20096,grow open-source networks,4,41.08,164.32
30155,20726,aggregate killer web services,4,24.55,98.2
30156,20294,strategize revolutionary models,3,44.13,132.39000000000001
30157,20209,architect user-centric partnerships,3,13.13,39.39
30158,20343,transition cutting-edge markets,3,47.65,142.95
30159,20088,re-intermediate vertical experiences,1,14.84,14.84
30160,20818,generate revolutionary e-business,3,19.68,59.04
30161,20776,iterate strategic relationships,1,39.03,39.03
30162,20937,deploy holistic eyeballs,2,22.72,45.44
30163,20390,synergize clicks-and-mortar synergies,4,32.37,129.48
30164,20325,harness viral web-readiness,3,25.01,75.03
30165,20940,grow viral mindshare,4,38.41,153.64
30166,20889,architect extensible technologies,4,15.27,61.08
30167,20832,monetize plug-and-play experiences,3,7.63,22.89
30168,20157,envisioneer killer systems,3,18.5,55.5
30169,20668,brand scalable deliverables,2,26.34,52.68
30170,20651,syndicate holistic convergence,1,12.56,12.56
30171,20633,disintermediate strategic models,1,20.97,20.97
30172,20577,incentivize clicks-and-mortar paradigms,4,23.0,92.0
30173,20619,unleash e-business platforms,3,7.58,22.740000000000002
30174,20659,enable open-source supply-chains,2,31.25,62.5
30175,20137,leverage wireless metrics,2,44.8,89.6
30176,20923,repurpose next-generation e-commerce,2,11.83,23.66
30177,20674,innovate out-of-the-box ROI,2,31.9,63.8
30178,20428,aggregate web-enabled e-business,2,34.91,69.82
30179,20452,engineer dynamic networks,1,23.87,23.87
30180,20612,target intuitive systems,1,36.55,36.55
30181,20850,unleash distributed e-services,1,23.48,23.48
30182,20911,orchestrate wireless technologies,3,27.71,83.13
30183,20819,engage out-of-the-box e-tailers,4,5.33,21.32
30184,20141,re-intermediate robust e-markets,2,36.13,72.26
30185,20083,matrix bleeding-edge models,3,34.76,104.28
30186,20177,unleash integrated e-markets,2,6.73,13.46
30187,20198,e-enable bleeding-edge interfaces,1,21.57,21.57
30188,20624,matrix proactive initiatives,3,49.06,147.18
30189,20568,incentivize virtual bandwidth,1,23.93,23.93
30190,20972,disintermediate 24/7 metrics,2,27.59,55.18
30191,20691,streamline sticky portals,2,45.95,91.9
30192,20421,whiteboard front-end applications,4,37.28,149.12
30193,20401,orchestrate virtual schemas,2,31.19,62.38
30194,20698,strategize virtual action-items,1,40.9,40.9
30195,20471,utilize sticky niches,2,43.9,87.8
30196,20218,engage dot-com relationships,4,25.56,102.24
30197,20925,utilize open-source portals,4,26.38,105.52
30198,20929,productize back-end networks,1,22.37,22.37
30199,20828,architect integrated platforms,3,48.5,145.5
30200,20987,re-contextualize turn-key paradigms,2,36.37,72.74
30201,20729,reinvent cross-media methodologies,4,8.75,35.0
30202,20632,target proactive technologies,2,43.83,87.66
30203,20951,strategize customized platforms,2,26.63,53.26
30204,20906,grow customized infrastructures,3,8.09,24.27
30205,20175,envisioneer leading-edge content,4,29.74,118.96
30206,20023,envisioneer turn-key synergies,2,23.77,47.54
30207,20725,seize web-enabled content,4,44.5,178.0
30208,20917,revolutionize next-generation synergies,1,14.18,14.18
30209,20235,envisioneer user-centric metrics,1,42.19,42.19
30210,20013,extend efficient metrics,2,30.1,60.2
30211,20101,extend global solutions,4,7.46,29.84
30212,20929,optimize best-of-breed users,2,48.73,97.46
30213,20536,mesh clicks-and-mortar schemas,4,28.07,112.28
30214,20876,redefine impactful methodologies,4,18.09,72.36
30215,20523,deliver visionary synergies,3,26.12,78.36
30216,20785,maximize value-added channels,3,43.6,130.8
30217,20452,strategize front-end e-business,3,18.72,56.16
30218,20431,evolve viral functionalities,2,13.67,27.34
30219,20793,innovate integrated platforms,3,10.81,32.43
30220,20606,cultivate holistic users,3,18.4,55.199999999999996
30221,20713,architect e-business markets,1,40.1,40.1
30222,20533,grow viral content,4,26.22,104.88
30223,20852,integrate cross-media web-readiness,4,15.24,60.96
30224,20979,morph interactive e-markets,3,12.48,37.44
30225,20723,synthesize one-to-one systems,4,19.97,79.88
30226,20652,visualize distributed vortals,1,47.3,47.3
30227,20293,integrate sticky ROI,1,20.44,20.44
30228,20810,matrix out-of-the-box paradigms,3,49.47,148.41
30229,20913,iterate magnetic technologies,1,26.84,26.84
30230,20101,e-enable innovative metrics,4,13.06,52.24
30231,20502,orchestrate front-end bandwidth,2,45.1,90.2
30232,20304,redefine plug-and-play metrics,4,25.72,102.88
30233,20871,integrate leading-edge schemas,2,36.94,73.88
30234,20540,extend one-to-one models,3,49.27,147.81
30235,20553,empower rich systems,2,7.26,14.52
30236,20355,implement cross-platform synergies,1,9.35,9.35
30237,20303,cultivate one-to-one communities,4,37.42,149.68
30238,20496,transition robust niches,2,17.68,35.36
30239,20658,scale compelling info-mediaries,4,13.29,53.16
30240,20768,generate proactive bandwidth,3,6.77,20.31
30241,20974,leverage integrated interfaces,3,5.98,17.94
30242,20227,utilize virtual bandwidth,1,39.85,39.85
30243,20236,leverage B2C mindshare,3,11.05,33.150000000000006
30244,20873,e-enable cross-platform initiatives,2,26.05,52.1
30245,20892,enhance 24/7 e-commerce,3,32.27,96.81
30246,20455,architect cross-platform portals,1,24.28,24.28
30247,20013,productize out-of-the-box e-commerce,4,6.22,24.88
30248,20210,visualize strategic paradigms,4,40.26,161.04
30249,20741,drive value-added solutions,3,5.47,16.41
30250,20397,implement cross-media relationships,2,39.29,78.58
30251,20100,exploit back-end web-readiness,1,45.2,45.2
30252,20031,transition frictionless markets,2,24.48,48.96
30253,20898,innovate rich e-commerce,1,29.1,29.1
30254,20528,harness customized solutions,3,26.46,79.38
30255,20649,expedite cross-platform applications,1,22.51,22.51
30256,20329,productize open-source communities,1,44.93,44.93
30257,20166,disintermediate one-to-one functionalities,3,45.23,135.69
30258,20459,integrate granular initiatives,2,20.11,40.22
30259,20822,unleash best-of-breed convergence,3,32.68,98.03999999999999
30260,20952,repurpose extensible portals,1,46.71,46.71
30261,20982,productize sticky functionalities,3,48.29,144.87
30262,20993,generate next-generation portals,1,27.9,27.9
30263,20100,productize vertical functionalities,3,25.38,76.14
30264,20621,orchestrate leading-edge ROI,4,17.54,70.16
30265,20855,brand end-to-end web services,4,48.15,192.6
30266,20173,utilize killer schemas,3,11.43,34.29
30267,20749,whiteboard plug-and-play e-tailers,2,31.09,62.18
30268,20162,syndicate front-end relationships,1,17.71,17.71
30269,20905,facilitate bricks-and-clicks mindshare,4,17.56,70.24
30270,20728,facilitate intuitive initiatives,2,23.22,46.44
30271,20776,morph bricks-and-clicks interfaces,1,49.95,49.95
30272,20263,empower vertical convergence,4,7.47,29.88
30273,20804,transition e-business portals,4,31.03,124.12
30274,20274,incubate cutting-edge content,3,8.72,26.160000000000004
30275,20003,mesh sticky e-tailers,1,11.95,11.95
30276,20028,e-enable front-end architectures,2,24.78,49.56
30277,20326,orchestrate back-end platforms,2,27.97,55.94
30278,20940,monetize efficient experiences,2,16.65,33.3
30279,20149,productize efficient partnerships,1,19.24,19.24
30280,20540,deploy innovative convergence,2,8.91,17.82
30281,20488,enable customized systems,2,18.64,37.28
30282,20822,disintermediate rich partnerships,2,48.5,97.0
30283,20438,grow cross-media e-tailers,3,47.51,142.53
30284,20065,reinvent open-source content,3,20.07,60.21
30285,20356,enable distributed users,1,30.69,30.69
30286,20533,envisioneer cross-platform vortals,1,45.93,45.93
30287,20252,monetize bleeding-edge interfaces,2,5.28,10.56
30288,20235,facilitate distributed e-tailers,3,41.48,124.44
30289,20227,seize distributed relationships,4,47.68,190.72
30290,20525,harness integrated initiatives,4,9.11,36.44
30291,20313,optimize enterprise communities,2,12.27,24.54
30292,20049,empower vertical vortals,2,48.23,96.46
30293,20118,unleash world-class eyeballs,3,29.19,87.57000000000001
30294,20054,evolve impactful supply-chains,3,5.64,16.919999999999998
30295,20650,generate revolutionary users,3,16.59,49.769999999999996
30296,20565,target back-end experiences,1,25.25,25.25
30297,20044,integrate frictionless web services,1,36.18,36.18
30298,20815,disintermediate vertical communities,2,37.99,75.98
30299,20053,orchestrate cutting-edge e-services,1,49.79,49.79
30300,20586,transition compelling interfaces,3,17.94,53.82000000000001
30301,20558,visualize customized paradigms,3,29.22,87.66
30302,20525,empower end-to-end ROI,1,29.0,29.0
30303,20677,orchestrate ubiquitous users,4,23.25,93.0
30304,20102,enable visionary web-readiness,2,12.61,25.22
30305,20792,whiteboard one-to-one eyeballs,4,48.99,195.96
30306,20770,transform 24/365 action-items,2,43.4,86.8
30307,20982,extend cutting-edge architectures,4,27.42,109.68
30308,20849,syndicate integrated networks,1,32.15,32.15
30309,20868,enable one-to-one infrastructures,2,15.23,30.46
30310,20398,grow cross-media portals,2,29.47,58.94
30311,20138,strategize value-added ROI,2,36.27,72.54
30312,20675,orchestrate scalable convergence,3,28.18,84.53999999999999
30313,20921,leverage dynamic content,3,49.56,148.68
30314,20387,expedite frictionless experiences,4,32.51,130.04
30315,20111,generate revolutionary platforms,1,21.69,21.69
30316,20614,visualize end-to-end metrics,3,39.75,119.25
30317,20017,cultivate extensible markets,2,12.67,25.34
30318,20780,morph wireless eyeballs,3,22.3,66.9
30319,20182,optimize viral ROI,1,20.61,20.61
30320,20884,optimize seamless e-services,3,24.43,73.28999999999999
30321,20536,utilize back-end paradigms,2,40.18,80.36
30322,20541,transform extensible e-tailers,4,26.79,107.16
30323,20171,synthesize B2B systems,2,40.73,81.46
30324,20409,unleash out-of-the-box web-readiness,1,30.94,30.94
30325,20740,re-contextualize out-of-the-box web services,4,20.39,81.56
30326,20378,empower customized bandwidth,3,41.45,124.35000000000001
30327,20188,mesh interactive metrics,3,15.72,47.160000000000004
30328,20858,incentivize front-end portals,3,15.1,45.3
30329,20230,synergize extensible partnerships,4,27.7,110.8
30330,20833,deploy extensible partnerships,2,16.74,33.48
30331,20852,embrace efficient networks,4,5.41,21.64
30332,20119,iterate impactful users,4,34.17,136.68
30333,20156,extend ubiquitous eyeballs,1,28.0,28.0
30334,20784,grow revolutionary platforms,4,25.05,100.2
30335,20687,grow viral users,3,48.51,145.53
30336,20465,matrix dot-com e-services,2,30.7,61.4
30337,20104,generate enterprise relationships,2,43.85,87.7
30338,20604,generate web-enabled portals,2,11.28,22.56
30339,20698,grow sticky initiatives,3,30.61,91.83
30340,20972,streamline integrated ROI,3,44.06,132.18
30341,20795,repurpose bricks-and-clicks synergies,3,31.24,93.72
30342,20502,innovate efficient metrics,3,37.31,111.93
30343,20693,matrix collaborative platforms,3,21.74,65.22
30344,20682,syndicate best-of-breed info-mediaries,4,9.16,36.64
30345,20699,re-contextualize virtual systems,3,25.61,76.83
30346,20175,enable bricks-and-clicks content,3,22.75,68.25
30347,20734,engineer e-business e-commerce,3,44.02,132.06
30348,20745,iterate cutting-edge methodologies,3,15.98,47.94
30349,20674,e-enable back-end portals,2,48.5,97.0
30350,20421,optimize distributed mindshare,3,48.12,144.35999999999999
30351,20134,harness one-to-one architectures,4,16.14,64.56
30352,20391,streamline next-generation infrastructures,4,20.66,82.64
30353,20992,visualize integrated action-items,4,45.3,181.2
30354,20736,expedite e-business mindshare,1,48.5,48.5
30355,20501,scale cutting-edge experiences,2,24.95,49.9
30356,20665,target dynamic bandwidth,3,19.44,58.32000000000001
30357,20033,engineer viral mindshare,1,28.67,28.67
30358,20055,engineer vertical solutions,3,35.95,107.85000000000001
30359,20954,engage cutting-edge e-markets,1,17.31,17.31
30360,20519,incubate revolutionary methodologies,1,38.14,38.14
30361,20756,iterate plug-and-play e-markets,4,7.32,29.28
30362,20825,aggregate leading-edge methodologies,4,7.22,28.88
30363,20638,envisioneer integrated e-business,1,22.38,22.38
30364,20012,revolutionize bricks-and-clicks applications,4,20.91,83.64
30365,20528,exploit extensible schemas,1,19.2,19.2
30366,20720,empower synergistic functionalities,2,27.1,54.2
30367,20555,seize cross-media e-services,4,19.43,77.72
30368,20373,utilize revolutionary paradigms,4,13.65,54.6
30369,20484,embrace end-to-end initiatives,4,18.93,75.72
30370,20973,e-enable dynamic users,2,48.87,97.74
30371,20647,iterate efficient relationships,1,23.5,23.5
30372,20228,enable B2C e-services,3,25.01,75.03
30373,20623,synergize B2C interfaces,4,30.94,123.76
30374,20307,envisioneer collaborative applications,1,49.25,49.25
30375,20457,cultivate enterprise convergence,2,15.87,31.74
30376,20160,generate enterprise mindshare,3,35.66,106.97999999999999
30377,20331,reinvent interactive mindshare,4,37.22,148.88
30378,20776,scale clicks-and-mortar solutions,2,32.33,64.66
30379,20225,synergize best-of-breed schemas,2,8.99,17.98
30380,20983,re-intermediate wireless vortals,3,35.46,106.38
30381,20729,drive visionary experiences,1,7.88,7.88
30382,20504,empower sticky metrics,4,31.83,127.32
30383,20456,leverage best-of-breed niches,4,38.28,153.12
30384,20045,deploy virtual e-commerce,1,14.49,14.49
30385,20214,transition dot-com schemas,1,42.87,42.87
30386,20059,aggregate magnetic info-mediaries,1,6.37,6.37
30387,20644,implement seamless supply-chains,3,42.97,128.91
30388,20616,deploy impactful synergies,3,25.71,77.13
30389,20195,deploy one-to-one convergence,4,14.79,59.16
30390,20925,grow killer markets,3,11.02,33.06
30391,20489,strategize virtual initiatives,2,47.9,95.8
30392,20157,architect sticky users,4,8.27,33.08
30393,20610,extend extensible partnerships,3,13.96,41.88
30394,20226,productize visionary niches,1,20.65,20.65
30395,20412,visualize intuitive infrastructures,2,32.91,65.82
30396,20205,enable clicks-and-mortar methodologies,1,29.52,29.52
30397,20079,synergize e-business e-tailers,4,10.65,42.6
30398,20124,empower proactive niches,1,18.04,18.04
30399,20471,aggregate sticky portals,3,15.74,47.22
30400,20940,brand killer e-business,3,14.61,43.83
30401,20218,strategize open-source content,4,23.5,94.0
30402,20516,utilize best-of-breed convergence,1,36.68,36.68
30403,20602,architect cross-media vortals,4,14.79,59.16
30404,20104,enable wireless models,1,21.5,21.5
30405,20393,expedite extensible systems,2,22.59,45.18
30406,20631,e-enable leading-edge metrics,3,48.94,146.82
30407,20645,transform revolutionary networks,4,47.96,191.84
30408,20824,re-intermediate front-end e-markets,2,41.01,82.02
30409,20608,disintermediate turn-key bandwidth,2,15.87,31.74
30410,20980,utilize killer paradigms,4,8.06,32.24
30411,20434,synthesize scalable applications,4,19.26,77.04
30412,20331,incubate scalable niches,2,17.01,34.02
30413,20143,incubate 24/365 schemas,1,27.77,27.77
30414,20800,orchestrate plug-and-play deliverables,2,40.0,80.0
30415,20540,seize collaborative vortals,4,43.62,174.48
30416,20278,enable B2C technologies,2,43.02,86.04
30417,20233,engineer bricks-and-clicks channels,1,21.19,21.19
30418,20529,generate mission-critical solutions,3,35.93,107.78999999999999
30419,20571,disintermediate intuitive technologies,3,19.08,57.239999999999995
30420,20090,incubate vertical e-services,2,7.74,15.48
30421,20492,benchmark rich users,1,36.57,36.57
30422,20199,syndicate extensible portals,3,5.44,16.32
30423,20362,facilitate dot-com eyeballs,2,23.41,46.82
30424,20441,implement revolutionary niches,2,19.82,39.64
30425,20026,implement cutting-edge niches,1,36.2,36.2
30426,20025,revolutionize scalable deliverables,4,39.48,157.92
30427,20394,embrace distributed initiatives,2,18.68,37.36
30428,20507,streamline intuitive functionalities,4,41.52,166.08
30429,20301,implement dot-com portals,4,18.23,72.92
30430,20339,matrix B2B eyeballs,3,25.08,75.24
30431,20267,seize magnetic paradigms,4,37.72,150.88
30432,20461,empower impactful users,1,36.18,36.18
30433,20693,seize virtual e-tailers,3,49.43,148.29
30434,20456,envisioneer efficient eyeballs,3,15.13,45.39
30435,20360,whiteboard world-class technologies,3,34.8,104.39999999999999
30436,20068,expedite sticky functionalities,2,32.44,64.88
30437,20863,maximize enterprise web services,2,46.18,92.36
30438,20412,synergize vertical platforms,4,12.04,48.16
30439,20971,repurpose viral portals,3,38.83,116.49
30440,20491,transform impactful experiences,3,30.57,91.71000000000001
30441,20833,leverage customized content,1,17.36,17.36
30442,20049,seize B2C supply-chains,4,26.35,105.4
30443,20687,generate efficient functionalities,1,20.02,20.02
30444,20564,evolve mission-critical info-mediaries,4,31.07,124.28
30445,20102,target ubiquitous info-mediaries,4,45.01,180.04
30446,20216,envisioneer granular web services,2,30.62,61.24
30447,20438,target seamless eyeballs,2,33.43,66.86
30448,20700,embrace visionary synergies,1,28.34,28.34
30449,20569,re-contextualize transparent action-items,4,7.3,29.2
30450,20559,monetize robust infrastructures,3,15.48,46.44
30451,20159,drive cross-media paradigms,2,27.14,54.28
30452,20489,engineer rich bandwidth,3,18.96,56.88
30453,20686,matrix cross-platform networks,1,13.18,13.18
30454,20242,extend efficient infrastructures,2,27.69,55.38
30455,20794,deploy back-end functionalities,2,19.53,39.06
30456,20753,syndicate user-centric info-mediaries,4,16.61,66.44
30457,20882,repurpose innovative action-items,1,25.88,25.88
30458,20005,e-enable B2B bandwidth,4,11.0,44.0
30459,20596,incentivize web-enabled niches,2,46.75,93.5
30460,20820,productize dot-com niches,1,44.05,44.05
30461,20361,extend customized bandwidth,2,36.84,73.68
30462,20459,aggregate collaborative users,1,9.78,9.78
30463,20248,re-contextualize impactful platforms,2,39.91,79.82
30464,20566,reinvent killer communities,3,41.36,124.08
30465,20673,engineer cross-media functionalities,3,39.55,118.64999999999999
30466,20946,envisioneer value-added models,4,10.13,40.52
30467,20422,visualize plug-and-play solutions,3,33.98,101.94
30468,20923,streamline plug-and-play initiatives,2,42.54,85.08
30469,20738,matrix robust technologies,2,30.98,61.96
30470,20015,grow e-business e-business,3,34.09,102.27000000000001
30471,20736,whiteboard web-enabled technologies,4,25.63,102.52
30472,20573,strategize 24/7 networks,3,28.79,86.37
30473,20122,facilitate customized metrics,1,6.55,6.55
30474,20277,strategize end-to-end info-mediaries,1,33.75,33.75
30475,20558,integrate leading-edge mindshare,1,8.67,8.67
30476,20453,enable B2B niches,3,24.58,73.74
30477,20390,morph holistic models,3,18.17,54.510000000000005
30478,20294,engineer robust web services,3,29.54,88.62
30479,20574,integrate wireless channels,1,11.0,11.0
30480,20598,orchestrate one-to-one methodologies,4,36.12,144.48
30481,20446,mesh leading-edge synergies,2,40.78,81.56
30482,20210,target B2B experiences,3,12.35,37.05
30483,20590,cultivate ubiquitous metrics,4,9.69,38.76
30484,20714,optimize best-of-breed applications,2,11.55,23.1
30485,20302,empower scalable deliverables,2,44.47,88.94
30486,20909,disintermediate 24/7 niches,2,28.77,57.54
30487,20223,unleash synergistic initiatives,4,26.03,104.12
30488,20734,embrace revolutionary vortals,4,9.8,39.2
30489,20003,syndicate front-end e-tailers,1,34.23,34.23
30490,20990,re-contextualize interactive systems,4,44.06,176.24
30491,20518,evolve innovative partnerships,4,42.27,169.08
30492,20093,leverage back-end content,4,33.17,132.68
30493,20520,integrate out-of-the-box convergence,2,8.39,16.78
30494,20428,empower ubiquitous functionalities,3,10.06,30.18
30495,20493,optimize value-added e-commerce,1,7.22,7.22
30496,20235,utilize extensible solutions,3,16.59,49.769999999999996
30497,20620,deploy next-generation supply-chains,3,11.1,33.3
30498,20161,scale impactful experiences,4,16.7,66.8
30499,20721,enable granular bandwidth,1,22.33,22.33
30500,20752,orchestrate customized eyeballs,3,47.43,142.29
30501,20331,repurpose magnetic synergies,3,32.47,97.41
30502,20333,repurpose B2C info-mediaries,1,42.57,42.57
30503,20050,morph customized e-markets,4,36.97,147.88
30504,20523,cultivate user-centric deliverables,3,10.06,30.18
30505,20863,optimize scalable platforms,2,38.12,76.24
30506,20668,innovate cross-media models,3,17.38,52.14
30507,20492,deliver web-enabled communities,2,33.76,67.52
30508,20582,revolutionize rich metrics,4,20.34,81.36
30509,20681,empower virtual partnerships,3,49.9,149.7
